NO	HARI	TANGGAL	SETLIST	UNIT SONG	POSITION	PARTNER	LINEUP	NOTE
264	Sabtu	12/08/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Sisca, Oniel		#HoneyBear18irthday
265	Kamis	24/08/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Muthe, Lulu
266	Sabtu	02/09/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose		Gita, Callie, Lyn		#APreludeOfADiva
267	Minggu	03/09/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Freya, Indira		#LaPrincesaGracia
268	Kamis	28/09/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Jessi, Lulu		#GUA2D1ANofChika
269	Minggu	08/10/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Muthe, Lulu		#ShaniStoriaFinita
270	Jumat	13/10/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Adel, Indira
271	Kamis	19/10/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Indira, Lyn
272	Kamis	02/11/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Adel, Indira, Cynthia
273	Minggu	12/11/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Jessi, Kathrina		#INS16NIA
274	Jumat	01/12/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Jessi, Lulu		Tanpa Live Streaming, modal LR RKJ
275	Jumat	08/12/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Adel, Indira		#IntoChristyWorld
276	Rabu	27/12/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Adel, Indira		Show Akhir Tahun 2023
277	Minggu	07/01/2024	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Adel, Indira		#Marsha200thRoll
278	Sabtu	13/01/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Jessi, Kathrina		#MilAdzana19
279	Jumat	19/01/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Oniel, Kathrina		#FeniSidewalkcruiser
280	Sabtu	20/01/2024	Ramune no Nomikata	Nice To Meet You		Jessi, Adel, Lia, Oniel		#WeAchievedVictory
281	Minggu	04/02/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Indira, Kathrina		#200mtoTheStars
282	Minggu	11/02/2024	Seifuku no Me	Kareha no Station	Solo	-		#ASHELesai
283	Sabtu	17/02/2024	Seifuku no Me	Kareha no Station	Solo	-		#L18rarianOfFreydom
284	Minggu	25/02/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Jessi, Kathrina		#Aurel100vely
285	Kamis	29/02/2024	Seifuku no Me	Kareha no Station	Solo	-		#HollaNineteen
286	Kamis	18/04/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Oniel, Amanda		#ZantedeschiaXIX
287	Kamis	02/05/2024	Seifuku no Me	Omoide Ijou	Center	Christy, Kathrina
288	Minggu	05/05/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Freya, Kathrina		#ShaniEvermore
289	Minggu	19/05/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Freya, Greesel		#Amazeeng20
290	Kamis	23/05/2024	Seifuku no Me	Kareha no Station	Solo	-
291	Sabtu	01/06/2024	Ramune no Nomikata	Nice To Meet You	Center	Adel, Greesel, Indah, Lia
292	Kamis	06/06/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Fiony, Danella
293	Kamis	13/06/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Muthe, Greesel
294	Sabtu	22/06/2024	Ramune no Nomikata	Usotsuki na Dachou	Center	Marsha, Ella		#ELIME2M4ID
295	Jumat	28/06/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Ella		Teater Sementara DIY
296	Sabtu	29/06/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Ella		Teater Sementara DIY
297	Minggu	30/06/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Ella		#DjogjaNjajalTeateran (Teater Sementara DIY)
298	Kamis	04/07/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Ella		#SINESINTONIA (Teater Sementara SBY)
299	Jumat	05/07/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Ella		Teater Sementara SBY
300	Minggu	07/07/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Ella		#ELI3L00M (Teater Sementara SBY)
301	Jumat	12/07/2024	Ramune no Nomikata	Usotsuki na Dachou		Fiony, Gracie		#HappyGDay23rd
302	Sabtu	13/07/2024	Ramune no Nomikata	Usotsuki na Dachou		Marsha, Ella		#Muthe20Fine
303	Rabu	14/08/2024	Seifuku no Me	Kareha no Station	Solo	-
304	Minggu	25/08/2024	Renai Kinshi Jourei	Renai Kinshi Jourei		Fiony, Kathrina		#EndlessAmazeeng
305	Minggu	01/09/2024	Ramune no Nomikata	Usotsuki na Dachou		Marsha, Ella		#GraciaPartyTime
306	Kamis	12/09/2024	Renai Kinshi Jourei	Renai Kinshi Jourei	Center	Daisy, Greesel		#RKChia
307	Minggu	22/09/2024	Renai Kinshi Jourei	Renai Kinshi Jourei	Center	Daisy, Amanda		#MAXXIIIMALYN
